Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login_Logout,,,,2021-10-11 19:06:04,2021-10-11 19:06:06,2.042s,FAILED
,,,,,,,
Test Cases/AD_Login/TC_Login,,,,2021-10-11 19:06:05,2021-10-11 19:06:06,1.022s,FAILED
"startApplication(""C:\Users\Riza\Downloads\Alodokter_user_v3.6.0_staging_debug_300921_1624.apk"", false)",,,,2021-10-11 19:06:05,2021-10-11 19:06:06,0.460s,FAILED
,,,,,,,
Test Cases/AD_Logout/TC_Logout,,Test Case Function Logout,,2021-10-11 19:06:06,2021-10-11 19:06:06,0.430s,FAILED
device_Height = getDeviceHeight(),,Get Device Height and Store in device_height variable,,2021-10-11 19:06:06,2021-10-11 19:06:06,0.093s,PASSED
